name	lat	lng	class	flowinfo	url
"USGS 11376000 COTTONWOOD C NR COTTONWOOD CA"	40.38709797	-122.23861190	5	"Discharge: 554 cfs;Stage: 3.35 ft;Date: 2013-04-08 21:00:00;Percentile: 27.11 %;Class: Normal;% normal(median): 64.87%;% normal(mean): 44.42%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11376000
"USGS 10257549 WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA"	33.89890450	-116.62112560	0	"Discharge: 12 cfs;Stage: 12.85 ft;Date: 2013-04-08 20:45:00;Class: Not-ranked;% normal(median): %;% normal(mean): %;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=10257549
"USGS 11042000 SAN LUIS REY R A OCEANSIDE CA"	33.21809119	-117.36031620	5	"Discharge: 15 cfs;Stage: 6.21 ft;Date: 2013-04-08 20:45:00;Flood stage: 21 ft;Percentile: 42.37 %;Class: Normal;% normal(median): 78.95%;% normal(mean): 24.14%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11042000
"USGS 11048600 BONITA C A IRVINE CA"	33.64502095	-117.86116730	0	"Discharge: 0.43 cfs;Stage: 10.34 ft;Date: 2013-04-08 20:45:00;Class: Not-ranked;% normal(median): 60.56%;% normal(mean): 28.48%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11048600
"USGS 11173575 ALAMEDA C BL WELCH C NR SUNOL CA"	37.54049080	-121.85634500	0	"Discharge: 3.8 cfs;Stage: 9.35 ft;Date: 2013-04-08 20:30:00;Class: Not-ranked;% normal(median): 42.22%;% normal(mean): 3.94%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11173575
"USGS 11480390 MAD R AB RUTH RES NR FOREST GLEN CA"	40.28431329	-123.33530340	5	"Discharge: 324 cfs;Stage: 4.22 ft;Date: 2013-04-08 21:00:00;Percentile: 67.29 %;Class: Normal;% normal(median): 169.63%;% normal(mean): 115.55%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11480390
"USGS 11519500 SCOTT R NR FORT JONES CA"	41.64069017	-123.01503700	5	"Discharge: 1170 cfs;Stage: 7.55 ft;Date: 2013-04-08 20:30:00;Flood stage: 15 ft;Percentile: 62.85 %;Class: Normal;% normal(median): 113.59%;% normal(mean): 117.13%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11519500
"USGS 11253310 CANTUA C NR CANTUA CREEK CA"	36.40217399	-120.43349170	3	"Discharge: 0.00 cfs;Stage: 0.16 ft;Date: 2013-04-08 20:30:00;Percentile: 6.09 %;Class: Much below normal;% normal(median): 0.00%;% normal(mean): 0.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11253310
"USGS 11151300 SAN LORENZO C BL BITTERWATER C NR KING CITY CA"	36.26802087	-121.06630300	4	"Discharge: 0.93 cfs;Stage: 4.69 ft;Date: 2013-04-08 20:15:00;Percentile: 20.28 %;Class: Below normal;% normal(median): 27.35%;% normal(mean): 6.03%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11151300
"USGS 11042510 VAIL LK NR TEMECULA CA"	33.49558538	-116.97669200	0	"Stage: 1441.03 ft;Date (stage): 2013-04-08 20:30:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11042510
"USGS 11509500 KLAMATH RIVER AT KENO, OR"	42.13319946	-121.96223130	4	"Discharge: 765 cfs;Stage: 4.76 ft;Date: 2013-04-08 20:45:00;Percentile: 18.53 %;Class: Below normal;% normal(median): 42.98%;% normal(mean): 32.34%;"	http://waterdata.usgs.gov/or/nwis/uv?site_no=11509500
"USGS 11468900 MATTOLE R NR ETTERSBURG CA"	40.13930900	-123.99142300	0	"Discharge: 960 cfs;Stage: 12.21 ft;Date: 2013-04-08 20:00:00;Class: Not-ranked;% normal(median): 482.41%;% normal(mean): 242.49%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11468900
"USGS 11452500 CACHE C A YOLO CA"	38.72712600	-121.80718740	4	"Discharge: 8.9 cfs;Stage: 45.08 ft;Date: 2013-04-08 20:30:00;Flood stage: 81 ft;Percentile: 19.73 %;Class: Below normal;% normal(median): 4.52%;% normal(mean): 0.76%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11452500
"USGS 11507000 UPPER KLAMATH LAKE NEAR KLAMATH FALLS, OR"	42.24986606	-121.81639450	0	"Stage: 4142.41 ft;Date (stage): 2013-04-08 20:30:00;Class: Not-ranked;"	http://waterdata.usgs.gov/or/nwis/uv?site_no=11507000
"USGS 11162753 SAN MATEO C BL LO CRYSTAL SP RES NR SAN MATEO CA"	37.52944444	-122.35833330	0	"Discharge: 1.1 cfs;Stage: 4.19 ft;Date: 2013-04-08 21:00:00;Class: Not-ranked;% normal(median): 73.33%;% normal(mean): 3.87%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11162753
"USGS 11509105 NORTH CANAL AT HIGHWAY 97, NEAR MIDLAND, OR"	42.12236820	-121.83000330	0	"Discharge: 31 cfs;Stage: 7.15 ft;Date: 2013-04-08 20:50:00;Class: Not-ranked;% normal(median): %;% normal(mean): %;"	http://waterdata.usgs.gov/or/nwis/uv?site_no=11509105
"USGS 11336685 N MOKELUMNE NR WALNUT GROVE CA"	38.22333330	-121.50722220	0	"Discharge: 3400 cfs;Stage: 19.81 ft;Date: 2013-04-08 20:00:00;Class: Not-ranked;% normal(median): %;% normal(mean): %;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11336685
"USGS 11124500 SANTA CRUZ C NR SANTA YNEZ CA"	34.59665630	-119.90875190	4	"Discharge: 2.3 cfs;Stage: 4.77 ft;Date: 2013-04-08 20:30:00;Percentile: 11.82 %;Class: Below normal;% normal(median): 16.43%;% normal(mean): 5.52%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11124500
"USGS 11463200 BIG SULPHUR C NR CLOVERDALE CA"	38.82601670	-122.99694420	0	"Discharge: 52 cfs;Stage: 19.55 ft;Date: 2013-04-08 20:30:00;Class: Not-ranked;% normal(median): 58.76%;% normal(mean): 32.54%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11463200
"USGS 11057500 SAN TIMOTEO C NR LOMA LINDA CA"	34.06140240	-117.26754190	7	"Discharge: 12 cfs;Stage: 1.05 ft;Date: 2013-04-08 20:30:00;Percentile: 94.01 %;Class: Much above normal;% normal(median): 2105.26%;% normal(mean): 506.33%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11057500
"USGS 11136500 CUYAMA R NR VENTUCOPA CA"	34.68887277	-119.35789520	0	"Discharge: 1.3 cfs;Stage: 5.05 ft;Date: 2013-04-08 20:00:00;Class: Not-ranked;% normal(median): 32.91%;% normal(mean): 4.10%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11136500
"USGS 10260860 GRASS VALLEY LK NR LAKE ARROWHEAD CA"	34.26361110	-117.21777780	0	"Class: Not-ranked;Status: Dis;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=10260860
"USGS 10262500 MOJAVE R A BARSTOW CA"	34.90692668	-117.02281800	0	"Discharge: 0.00 cfs;Stage: 1.65 ft;Date: 2013-04-08 21:00:00;Class: Not-ranked;% normal(median): %;% normal(mean): 0.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=10262500
"USGS 10254970 NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA"	32.66589250	-115.50305010	1	"Discharge: 106 cfs;Stage: 9.37 ft;Date: 2013-04-08 21:00:00;Percentile: 3.03 %;Class: Low;% normal(median): 47.01%;% normal(mean): 41.29%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=10254970
"USGS 11425500 SACRAMENTO R A VERONA CA"	38.77434584	-121.59829280	5	"Discharge: 15400 cfs;Stage: 14.97 ft;Date: 2013-04-08 20:45:00;Flood stage: 41.3 ft;Percentile: 30.41 %;Class: Normal;% normal(median): 69.68%;% normal(mean): 54.74%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11425500
"USGS 11158600 SAN BENITO R A HWY 156 NR HOLLISTER CA"	36.85189909	-121.42993680	4	"Discharge: 0.00 cfs;Stage: 1.84 ft;Date: 2013-04-08 20:30:00;Percentile: 11.19 %;Class: Below normal;% normal(median): 0.00%;% normal(mean): 0.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11158600
"USGS 11477000 EEL R A SCOTIA CA"	40.49152384	-124.09976990	5	"Discharge: 8410 cfs;Stage: 14.48 ft;Date: 2013-04-08 20:15:00;Flood stage: 51 ft;Percentile: 57.00 %;Class: Normal;% normal(median): 121.71%;% normal(mean): 82.63%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11477000
"USGS 11059300 SANTA ANA R A E ST NR SAN BERNARDINO CA"	34.06501310	-117.30032080	2	"Discharge: 0.00 cfs;Stage: 2.48 ft;Date: 2013-04-08 20:00:00;Percentile: 3.32 %;Class: Much below normal;% normal(median): 0.00%;% normal(mean): 0.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11059300
"USGS 11299995 TULLOCH RES NR KNIGHTS FERRY CA"	37.87603788	-120.60436910	0	"Stage: 508.41 ft;Date (stage): 2012-06-18 14:00:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11299995
"USGS 11455478 SACRAMENTO R A DECKER ISLAND NR RIO VISTA CA"	38.09325200	-121.73717720	0	"Stage: 2.99 ft;Date (stage): 2013-04-08 20:00:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11455478
"USGS 11355010 PIT R BL PIT NO 1 PH NR FALL RIVER MILLS CA"	40.98321780	-121.51192700	5	"Discharge: 2160 cfs;Stage: 6.52 ft;Date: 2013-04-08 20:00:00;Percentile: 53.63 %;Class: Normal;% normal(median): 108.54%;% normal(mean): 86.47%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11355010
"USGS 10260500 DEEP C NR HESPERIA CA"	34.34305858	-117.22643160	0	"Discharge: 14 cfs;Stage: 1.55 ft;Date: 2013-04-08 21:00:00;Class: Not-ranked;% normal(median): 16.87%;% normal(mean): 8.53%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=10260500
"USGS 11433040 PILOT C BL MUTTON CANYON NR GEORGETOWN CA"	38.92351348	-120.64187160	0	"Discharge: 2.4 cfs;Stage: 3.04 ft;Date: 2008-10-19 23:45:00;Class: Not-ranked;% normal(median): 3.97%;% normal(mean): 2.89%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11433040
"USGS 11299600 BLACK C NR COPPEROPOLIS CA"	37.96103615	-120.61520350	0	"Discharge: 1.4 cfs;Stage: 2.05 ft;Date: 2013-04-08 20:45:00;Class: Not-ranked;% normal(median): 42.42%;% normal(mean): 14.71%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11299600
"USGS 11455315 CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA"	38.24222220	-121.68611100	0	"Discharge: 9540 cfs;Stage: 18.07 ft;Date: 2013-04-08 20:00:00;Class: Not-ranked;% normal(median): %;% normal(mean): %;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11455315
"USGS 11486990 LOST R DIVERSION AT TINGLEY LN NR KLAMATH FALLS,OR"	42.16764590	-121.77639100	0	"Stage: 10.86 ft;Date (stage): 2013-04-08 20:50:00;Class: Not-ranked;"	http://waterdata.usgs.gov/or/nwis/uv?site_no=11486990
"USGS 11152300 SALINAS R NR CHUALAR CA"	36.55357267	-121.54938560	5	"Discharge: 73 cfs;Stage: 2.18 ft;Date: 2013-04-08 21:00:00;Percentile: 45.57 %;Class: Normal;% normal(median): 60.83%;% normal(mean): 9.60%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11152300
"USGS 11071900 TEMESCAL C A CORONA LK NR CORONA CA"	33.75027778	-117.44583330	0	"Stage: 36.39 ft;Date (stage): 2013-04-08 20:30:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11071900
"USGS 11475560 ELDER C NR BRANSCOMB CA"	39.72959970	-123.64390730	5	"Discharge: 35 cfs;Stage: 4.03 ft;Date: 2013-04-08 20:30:00;Percentile: 70.56 %;Class: Normal;% normal(median): 166.67%;% normal(mean): 122.89%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11475560
"USGS 11169800 COYOTE C NR GILROY CA"	37.07772286	-121.49438320	0	"Discharge: 2.4 cfs;Stage: 2.28 ft;Date: 2013-04-08 20:15:00;Class: Not-ranked;% normal(median): 15.00%;% normal(mean): 3.05%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11169800
"USGS 11042631 PECHANGA C NR TEMECULA CA"	33.46416667	-117.12388890	0	"Stage: 3.63 ft;Date (stage): 2013-04-08 21:00:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11042631
"USGS 11160000 SOQUEL C A SOQUEL CA"	36.99133890	-121.95579330	4	"Discharge: 8.2 cfs;Stage: 1.70 ft;Date: 2013-04-08 20:00:00;Percentile: 11.69 %;Class: Below normal;% normal(median): 34.89%;% normal(mean): 14.67%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11160000
"USGS 11120000 ATASCADERO C NR GOLETA CA"	34.42471890	-119.81180500	5	"Discharge: 0.10 cfs;Stage: 1.48 ft;Date: 2013-04-08 20:45:00;Percentile: 30.00 %;Class: Normal;% normal(median): 27.03%;% normal(mean): 1.61%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11120000
"USGS 10257548 WHITEWATER R A WINDY POINT MAIN CHANNEL CA"	33.89890450	-116.62112560	0	"Discharge: 0.00 cfs;Stage: 3.46 ft;Date: 2013-04-08 20:45:00;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=10257548
"USGS 11475800 SF EEL R A LEGGETT CA"	39.87459570	-123.72057750	0	"Discharge: 1210 cfs;Stage: 8.99 ft;Date: 2013-04-08 20:30:00;Class: Not-ranked;% normal(median): 226.17%;% normal(mean): 145.45%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11475800
"USGS 11458500 SONOMA C A AGUA CALIENTE CA"	38.32324705	-122.49442580	4	"Discharge: 9.9 cfs;Stage: 9.73 ft;Date: 2013-04-08 20:45:00;Percentile: 12.89 %;Class: Below normal;% normal(median): 30.94%;% normal(mean): 12.96%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11458500
"USGS 11389500 SACRAMENTO R A COLUSA CA"	39.21405660	-122.00025080	5	"Discharge: 10100 cfs;Stage: 45.48 ft;Date: 2013-04-08 20:45:00;Flood stage: 70 ft;Percentile: 53.25 %;Class: Normal;% normal(median): 101.97%;% normal(mean): 71.20%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11389500
"USGS 11465700 COLGAN C NR SEBASTOPOL CA"	38.37352515	-122.76832270	0	"Discharge: 1.5 cfs;Stage: 68.81 ft;Date: 2013-04-08 20:15:00;Class: Not-ranked;% normal(median): 115.38%;% normal(mean): 28.74%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11465700
"USGS 11062820 FONTANA WATER CO DIV NR FONTANA CA"	34.15473170	-117.39671370	0	"Discharge: 5.9 cfs;Stage: 1.20 ft;Date: 2013-04-08 20:15:00;Class: Not-ranked;% normal(median): 39.33%;% normal(mean): 38.02%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11062820
"USGS 11046090 LAS FLORES C A LAS PULGAS CYN NR OCEANSIDE CA"	33.31864303	-117.43781850	0	"Stage: 5.55 ft;Date (stage): 2013-04-08 20:00:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11046090
"USGS 11401920 SPANISH C A QUINCY CA"	39.94583330	-120.94250000	0	"Discharge: 198 cfs;Stage: 5.95 ft;Date: 2013-04-08 20:30:00;Class: Not-ranked;% normal(median): 54.40%;% normal(mean): 54.40%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11401920
"USGS 11046300 SAN MATEO C NR SAN CLEMENTE CA"	33.47085987	-117.47309860	2	"Discharge: 0.15 cfs;Stage: 2.60 ft;Date: 2013-04-08 20:45:00;Percentile: 4.34 %;Class: Much below normal;% normal(median): 3.57%;% normal(mean): 0.59%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11046300
"USGS 11335655 DEER C NR CAMERON PARK CA"	38.62388889	-120.99361100	0	"Class: Not-ranked;Status: Dis;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11335655
"USGS 11043000 MURRIETA C A TEMECULA CA"	33.47975066	-117.14392030	0	"Stage: 1.12 ft;Date (stage): 2013-04-08 20:15:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11043000
"USGS 11044800 DE LUZ C NR DE LUZ CA"	33.41975110	-117.32170440	0	"Discharge: 0.00 cfs;Stage: 5.10 ft;Date: 2013-04-08 21:00:00;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11044800
"USGS 11180700 ALAMEDA C FLOOD CHANNEL A UNION CITY CA"	37.58576818	-122.04829550	5	"Discharge: 65 cfs;Stage: 5.25 ft;Date: 2013-04-08 20:00:00;Percentile: 66.97 %;Class: Normal;% normal(median): 730.34%;% normal(mean): 49.77%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11180700
"USGS 11152050 ARROYO SECO BL RELIZ C NR SOLEDAD CA"	36.39968708	-121.32409620	0	"Discharge: 0.00 cfs;Stage: 0.20 ft;Date: 2013-04-08 20:30:00;Class: Not-ranked;% normal(median): 0.00%;% normal(mean): 0.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11152050
"USGS 11109000 SANTA CLARA R NR PIRU CA"	34.40360813	-118.73925800	0	"Discharge: 53 cfs;Stage: 4.55 ft;Date: 2013-04-08 20:15:00;Flood stage: 13.1 ft;Class: Not-ranked;% normal(median): 108.16%;% normal(mean): 72.34%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11109000
"USGS 384041121410301 CACHE C SETTLING BASIN SITE B NR WOODLAND CA"	38.67795980	-121.68523900	0	"Stage: 34.85 ft;Date (stage): 2012-12-28 14:45:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=384041121410301
"USGS 11461000 RUSSIAN R NR UKIAH CA"	39.19544710	-123.19500480	5	"Discharge: 118 cfs;Stage: 4.64 ft;Date: 2013-04-08 21:00:00;Percentile: 60.78 %;Class: Normal;% normal(median): 159.46%;% normal(mean): 67.33%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11461000
"USGS 11089500 FULLERTON C BL FULLERTON DAM NR BREA CA"	33.89584765	-117.88617060	5	"Discharge: 0.36 cfs;Stage: 3.26 ft;Date: 2013-04-08 20:15:00;Percentile: 54.17 %;Class: Normal;% normal(median): 116.13%;% normal(mean): 34.62%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11089500
"USGS 11370500 SACRAMENTO R A KESWICK CA"	40.60098350	-122.44445530	5	"Discharge: 5750 cfs;Stage: 9.93 ft;Date: 2013-04-08 20:30:00;Percentile: 43.73 %;Class: Normal;% normal(median): 95.83%;% normal(mean): 66.00%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11370500
"USGS 11337190 SAN JOAQUIN R A JERSEY POINT CA"	38.05214240	-121.68884280	0	"Discharge: 180000 cfs;Stage: 2.90 ft;Date: 2013-04-08 20:00:00;Class: Not-ranked;% normal(median): %;% normal(mean): %;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11337190
"USGS 11467200 AUSTIN C NR CAZADERO CA"	38.50657970	-123.06972390	0	"Discharge: 40 cfs;Stage: 4.18 ft;Date: 2013-04-08 20:00:00;Class: Not-ranked;% normal(median): 36.04%;% normal(mean): 16.78%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11467200
"USGS 11277300 CHERRY C BL VALLEY DAM NR HETCH HETCHY CA"	37.96769944	-119.91740290	5	"Discharge: 6.8 cfs;Stage: 5.25 ft;Date: 2013-04-08 20:00:00;Percentile: 45.00 %;Class: Normal;% normal(median): 94.44%;% normal(mean): 22.46%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11277300
"USGS 11274630 DEL PUERTO C NR PATTERSON CA"	37.48659935	-121.20910260	4	"Discharge: 0.57 cfs;Stage: 1.39 ft;Date: 2013-04-08 20:30:00;Percentile: 18.57 %;Class: Below normal;% normal(median): 16.76%;% normal(mean): 5.91%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11274630
"USGS 11525630 GRASS VALLEY C NR LEWISTON CA"	40.68653456	-122.86113480	0	"Discharge: 45 cfs;Stage: 3.85 ft;Date: 2013-04-08 20:30:00;Class: Not-ranked;% normal(median): 60.81%;% normal(mean): 50.56%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11525630
"USGS 11176500 ARROYO VALLE NR LIVERMORE CA"	37.62326509	-121.75884180	5	"Discharge: 6.9 cfs;Stage: 2.74 ft;Date: 2013-04-08 20:45:00;Percentile: 65.10 %;Class: Normal;% normal(median): 164.29%;% normal(mean): 17.86%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11176500
"USGS 11521500 INDIAN C NR HAPPY CAMP CA"	41.83512325	-123.38311130	6	"Discharge: 943 cfs;Stage: 6.23 ft;Date: 2013-04-08 20:45:00;Percentile: 81.27 %;Class: Above normal;% normal(median): 149.92%;% normal(mean): 139.52%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11521500
"USGS 11450000 CLEAR LK A LAKEPORT CA"	39.03906180	-122.91332920	0	"Stage: 6.16 ft;Date (stage): 2013-04-08 20:15:00;Flood stage: 9 ft;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11450000
"USGS 11185185 SUISUN BAY A MALLARD IS CA"	38.04269787	-121.92023740	0	"Stage: 1.52 ft;Date (stage): 2013-04-03 15:45:00;Class: Not-ranked;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11185185
"USGS 11162630 PILARCITOS C A HALF MOON BAY CA"	37.46660747	-122.43414200	5	"Discharge: 7.6 cfs;Stage: 2.34 ft;Date: 2013-04-08 20:00:00;Percentile: 35.23 %;Class: Normal;% normal(median): 69.09%;% normal(mean): 32.19%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11162630
"USGS 11152650 RECLAMATION DITCH NR SALINAS CA"	36.70495860	-121.70494750	0	"Discharge: 2.2 cfs;Stage: 0.80 ft;Date: 2013-04-08 20:00:00;Class: Not-ranked;% normal(median): 25.43%;% normal(mean): 6.96%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11152650
"USGS 11128500 SANTA YNEZ R A SOLVANG CA"	34.58498706	-120.14459260	4	"Discharge: 0.42 cfs;Stage: 4.98 ft;Date: 2013-04-08 20:15:00;Percentile: 12.47 %;Class: Below normal;% normal(median): 4.38%;% normal(mean): 0.19%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11128500
"USGS 11143000 BIG SUR R NR BIG SUR CA"	36.24579648	-121.77328720	4	"Discharge: 38 cfs;Stage: 4.33 ft;Date: 2013-04-08 20:15:00;Percentile: 16.46 %;Class: Below normal;% normal(median): 41.53%;% normal(mean): 23.22%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11143000
"USGS 11101250 RIO HONDO AB WHITTIER NARROWS DAM CA"	34.05834368	-118.07173480	5	"Discharge: 3.6 cfs;Stage: 1.39 ft;Date: 2013-04-08 21:00:00;Percentile: 66.72 %;Class: Normal;% normal(median): 225.00%;% normal(mean): 11.67%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11101250
"USGS 10257500 FALLS C NR WHITE WATER CA"	33.86946114	-116.67168240	0	"Discharge: 0.14 cfs;Stage: 4.03 ft;Date: 2013-04-08 21:00:00;Class: Not-ranked;% normal(median): 11.67%;% normal(mean): 7.33%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=10257500
"USGS 11427000 NF AMERICAN R A NORTH FORK DAM CA"	38.93600919	-121.02383300	5	"Discharge: 1030 cfs;Stage: 1.56 ft;Date: 2013-04-08 20:30:00;Percentile: 33.29 %;Class: Normal;% normal(median): 80.16%;% normal(mean): 66.55%;"	http://waterdata.usgs.gov/ca/nwis/uv?site_no=11427000
