agency_cd,data_source,site_no,data_type,station_nm,site_tp_cd,lat_va,long_va,latitude,longitude,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,http://waterservices.usgs.gov/,9523400,discharge,"TITSINK CANAL NEAR YUMA, AZ",ST-CA,324928,1143228,32.82448865,-114.5418948,M,T,NAD27,NAD83,4,6,25,US,SWNESWS27 T15S  R23E  S,BARD,24000,145,M,2.5,NGVD29,15030107,,G,YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NYNNNNNN,,,,,,,YUMRES
USGS,http://waterservices.usgs.gov/,9523600,discharge,"YAQUI CANAL NEAR YUMA, AZ",ST-CA,324831,1143515,32.80865585,-114.5882852,M,T,NAD27,NAD83,4,6,25,US,SENWSES31 T15S  R23E  S,BARD,24000,155,M,2.5,NGVD29,15030107,,G,YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NNNNNNNN,,,,,,,YUMRES
USGS,http://waterservices.usgs.gov/,9523800,discharge,"PONTIAC CANAL NEAR YUMA, AZ",ST-CA,324737,1143650,32.79365629,-114.6146748,M,T,NAD27,NAD83,4,6,25,US,SWNWSWS01 T16S  R22E  S,BARD,24000,155,M,2.5,NGVD29,15030107,,G,YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NNNNNNNN,,,,,,,YUMRES
USGS,http://waterservices.usgs.gov/,9525000,discharge,"YUMA MAIN CANAL WASTEWAY AT YUMA, AZ",ST-CA,324400,1143720,32.7333801,-114.623008,M,T,NAD27,NAD83,4,6,25,US,NWSWSES26 T16S  R22E  S,YUMA EAST,24000,122.51,U,20,NGVD29,15030107,,G,YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NYNNNNNN,,,,,,,YUMRES
USGS,http://waterservices.usgs.gov/,9526200,discharge,"YPSILANTI CANAL NEAR WINTERHAVEN, CA",ST-CA,324606,1143917,32.76837927,-114.6555093,M,S,NAD27,NAD83,4,6,25,US,,ARAZ,24000,133,M,20,NGVD29,15030107,,G,YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NYNNNNNN,,,,,,,YUMRES
USGS,http://waterservices.usgs.gov/,9527590,discharge,COACHELLA CANAL ABV ALL-AMERICAN CANAL DIV,ST-CA,324251,1145638,32.71416667,-114.9438889,M,S,NAD83,NAD83,4,6,25,US,,,24000,161,M,10,NGVD29,15030107,,C,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,20031001,,,MST,N,,,,,,,,,
USGS,http://waterservices.usgs.gov/,9527594,discharge,"COACHELLA CANAL NEAR NILAND, CA",ST,330526,1152658,33.0905961,-115.4502627,G,S,NAD27,NAD83,4,6,25,US,SESENWS03 T10S  R15E  S,IRIS WASH,24000,70,G,5,NGVD29,18100200,,,YNNNYNNNNNNNNNYNNNNNNNNNNNNNNN,,20091110,,,MST,N,,,,,,,,,
USGS,http://waterservices.usgs.gov/,9527597,discharge,"COACHELLA CANAL NEAR DESERT BEACH, CA",ST,333217,1155504,33.53808109,-115.9186083,G,S,NAD27,NAD83,4,6,65,US,NENENWS26 T75   R10E,MORTMAR,24000,70,G,5,NGVD29,18100200,,,YNNNYNNNNNNNNNYNNNNNNNNNNNNNNN,,20091026,,,MST,N,,,,,,,,,
USGS,http://waterservices.usgs.gov/,9527600,discharge,ALL-AMERICAN CNL BLW DR0P 1 POWERPLANT NR CALEXICO,ST,324219,1145802,32.70532655,-114.968023,M,S,NAD27,NAD83,4,6,25,US,,GRAYS WELL,24000,150,M,10,NGVD29,18100200,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NNNNNNNN,,,,,,,967700113
USGS,http://waterservices.usgs.gov/,9527700,discharge,ALL-AMERICAN CANAL BELOW DROP 2 RESERVOIR OUTLET,ST-CA,324215.3,1150253.21,32.70425,-115.0481139,G,S,NAD83,NAD83,4,6,25,US,NESWNWS05 T17S  R19E  S,MIDWAY WELL,24000,126,M,5,NGVD29,18100200,,F,YNNNYNNNNNNNNNYNNNNNNNNNNNNNNN,201110,,,,MST,N,C,,,,,,,,YUMIMP
USGS,http://waterservices.usgs.gov/,9530000,discharge,"RESERVATION MAIN DRAIN NO. 4 NEAR YUMA, AZ",ST,324414,1143716,32.73726888,-114.621897,M,T,NAD27,NAD83,4,6,25,US,NENWSES26 T16S  R22E  S,YUMA EAST,24000,127,M,2.5,NGVD29,15030107,,G,YNNNYNNNNNYNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NYNNNNNN,,,,,,,YUMRES
USGS,http://waterservices.usgs.gov/,9530500,discharge,"DRAIN 8-B NEAR WINTERHAVEN, CA",ST,324446,1144137,32.74615776,-114.6943992,M,T,NAD27,NAD83,4,6,25,US,NWNENWS30 T16S  R22E  S,YUMA WEST,24000,118,M,2.5,NGVD29,15030107,,G,NYNNYNNNNNYNNNNNNNNNNNNNNNNNNN,,,,,MST,N,,NNNNNNNN,,,,,,,YUMRES
USGS,http://waterservices.usgs.gov/,1.10125E7,discharge,CAMPO C NR CAMPO CA,ST,323528,1163129,32.591172,-116.525572,M,F,NAD27,NAD83,6,6,73,US,  NESES24 T18S  R04E,,,2179.08,M,17,NGVD29,18070305,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,85,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.1014E7,discharge,JAMUL C NR JAMUL CA,ST,323815,1165300,32.6375566,-116.8841893,M,F,NAD27,NAD83,6,6,73,US,  NWNES04 T18S  R01E,,,511.64,M,17,NGVD29,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,70.1,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.1015E7,discharge,SWEETWATER R NR DESCANSO CA,ST,325005,1163720,32.8347737,-116.6230747,M,F,NAD27,NAD83,6,6,73,US,  NWSES25 T15S  R03E,,,3269.24,M,17,NGVD29,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,45.4,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10162E7,discharge,SWEETWATER R A DEHESA CA,ST,324627,1165101,32.77416667,-116.8502778,G,U,NAD83,NAD83,6,6,73,US,  SESWS14 T16S  R01E,ALPINE,24000,520,M,20,NGVD29,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,131,,PST,Y,,,,,,,,,967700113
USGS,http://waterservices.usgs.gov/,1.10213E7,discharge,PADRE BARONA C NR LAKESIDE CA,ST,325629,1165126,32.94138889,-116.8572222,M,S,NAD83,NAD83,6,6,73,US,,EL CAJON MOUNTAIN,24000,1350,M,20,NGVD29,18070304,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,10.2,,PST,Y,,,,,,,,,96770AZ09
USGS,http://waterservices.usgs.gov/,1.10222E7,discharge,LOS COCHES C NR LAKESIDE CA,ST,325010,1165358,32.83616156,-116.9003035,M,F,NAD27,NAD83,6,6,73,US,,,,560,M,17,NGVD29,18070304,,,YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,12.2,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.102248E7,discharge,SAN DIEGO R A MAST RD NR SANTEE CA,ST,325025,1170130,32.84032675,-117.0258627,M,F,NAD27,NAD83,6,6,73,US,,,,280,M,17,NGVD29,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,368,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.1023E7,discharge,SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,ST,324554,1171004,32.76504998,-117.1686449,M,F,NAD27,NAD83,6,6,73,US,,,,20,M,17,NGVD29,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,429,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.102334E7,discharge,LOS PENASQUITOS C NR POWAY CA,ST,325635,1170715,32.9431013,-117.1216999,M,F,NAD27,NAD83,6,6,73,US,,,,,,,,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,42.1,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10255E7,discharge,SANTA YSABEL C NR RAMONA CA,ST,330625,1165155,33.1069866,-116.866137,M,F,NAD27,NAD83,6,6,73,US,  NWNES27 T12S  R01E,,,847.88,M,17,NGVD29,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,112,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.1027E7,discharge,GUEJITO C NR SAN PASQUAL CA,ST,330657,1165708,33.1158743,-116.9530841,M,F,NAD27,NAD83,6,6,73,US,,SAN PASQUAL,24000,610,M,10,NGVD29,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,22.5,,PST,Y,,NNNNNNNN,,,,,,,9677-0AZ09
USGS,http://waterservices.usgs.gov/,1.10285E7,discharge,SANTA MARIA C NR RAMONA CA,ST,330308,1165641,33.0522655,-116.9455844,M,F,NAD27,NAD83,6,6,73,US,  SESES11 T13S  R01W,,,1294.44,M,17,NGVD29,18070304,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,57.6,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10367E7,discharge,SAN LUIS REY R A COLE GRADE RD NR PAUMA VALLEY CA,ST,331849,1170004,33.3136111,-117.001111,G,5,NAD83,NAD83,6,6,73,US,,PALA,24000,760,M,10,NGVD29,18070303,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,282,,PST,Y,,,,,,,,,9677-00113
USGS,http://waterservices.usgs.gov/,1.1042E7,discharge,SAN LUIS REY R A OCEANSIDE CA,ST,331305,1172134,33.21809119,-117.3603162,M,F,NAD27,NAD83,6,6,73,US,  SESWS13 T11S  R05W,,,20,M,17,NGVD29,18070303,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,557,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10424E7,discharge,TEMECULA C NR AGUANGA CA,ST,332733,1165522,33.45919759,-116.9236357,M,F,NAD27,NAD83,6,6,65,US,  SWSWS19 T08S  R01E,VAIL LAKE,24000,1590,M,20,NGVD29,18070302,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,131,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10428E7,discharge,WARM SPRINGS C NR MURRIETA CA,ST,333156,1171034,33.53224867,-117.1769771,M,F,NAD27,NAD83,6,6,65,US,,MURRIETA,24000,,,,,18070302,,C,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,198710,55.4,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10429E7,discharge,SANTA GERTRUDIS C NR TEMECULA CA,ST,333128,1170950,33.52447127,-117.1647544,M,F,NAD27,NAD83,6,6,65,US,,MURRIETA,24000,1050,M,10,NGVD29,18070302,,C,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,198710,90.2,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.1044E7,discharge,SANTA MARGARITA R NR TEMECULA CA,ST,332826,1170829,33.4739175,-117.1422536,M,F,NAD27,NAD83,6,6,65,US,,,,950,M,17,NGVD29,18070302,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,588,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.104425E7,discharge,RAINBOW C NR FALLBROOK CA,ST,332427,1171200,33.40753006,-117.200867,M,F,NAD27,NAD83,6,6,73,US,  NWSES09 T09S  R03W,TEMECULA,24000,,,,,18070302,,C,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,19891106,10.3,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10443E7,discharge,SANTA MARGARITA R A FPUD SUMP NR FALLBROOK CA,ST,332449,1171425,33.41364059,-117.2411462,M,F,NAD27,NAD83,6,6,73,US,  NWNWS07 T09S  R04W,TEMECULA,24000,,,,,18070302,,C,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,19891025,620,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.104435E7,discharge,SANDIA C NR FALLBROOK CA,ST,332528,1171454,33.42447348,-117.249202,M,S,NAD27,NAD83,6,6,73,US,  SWNES01 T09S  R04W,TEMECULA,24000,380,M,10,NGVD29,18070302,,C,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,19891026,21.1,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10448E7,discharge,DE LUZ C NR DE LUZ CA,ST,332511,1171915,33.4197511,-117.3217044,M,S,NAD27,NAD83,6,6,73,US,  SWSES05 T09S  R04W,FALLBROOK,24000,270,M,10,NGVD29,18070302,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,19921001,33,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10453E7,discharge,FALLBROOK C NR FALLBROOK CA,ST,332049,1171901,33.34697584,-117.3178152,M,S,NAD27,NAD83,6,6,73,US,  SESES32 T09S  R04W,MORRO HILL,24000,190,M,10,NGVD29,18070302,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,6.97,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10456E7,discharge,ONEILL LAKE OUTLET CH NR FALLBROOK CA,ST,331930,1171929,33.3250321,-117.3255931,M,S,NAD27,NAD83,6,6,73,US,  SENWS08 T10S  R04W,MORRO HILL,24000,100,M,10,NGVD29,18070302,,,YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,9.77,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10457E7,discharge,ONEILL LK SPILL CH NR FALLBROOK CA,ST,331944,1171935,33.32892087,-117.3272599,M,S,NAD27,NAD83,6,6,73,US,  NWNWS08 T10S  R04W,MORRO HILL,24000,110,M,10,NGVD29,18070302,,,YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,9.77,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.1046E7,discharge,SANTA MARGARITA R A YSIDORA CA,ST,331840,1172047,33.3111436,-117.3472604,M,S,NAD27,NAD83,6,6,73,US,  NWNWS18 T10S  R04W,,,,,,,18070302,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,723,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10461E7,discharge,LAS FLORES C NR OCEANSIDE CA,ST,331732,1172721,33.29225499,-117.4567077,M,S,NAD27,NAD83,6,6,73,US,  NWSES24 T10S  R06W,LAS PULGAS CANYON,24000,35,M,10,NGVD29,18070301,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,26.6,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.104625E7,discharge,SAN ONOFRE C A SAN ONOFRE CA,ST,332302,1173424,33.38391854,-117.5742128,M,F,NAD27,NAD83,6,6,73,US,  SESES14 T09S  R07W,,,15,M,17,NGVD29,18070301,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,42.2,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10463E7,discharge,SAN MATEO C NR SAN CLEMENTE CA,ST,332815,1172820,33.47085987,-117.4730986,M,S,NAD27,NAD83,6,6,73,US,  SENES23 T08S  R06W,MARGARITA PEAK,24000,405,M,10,NGVD29,18070301,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,80.8,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.104636E7,discharge,CRISTIANITOS C AB SAN MATEO C NR SAN CLEMENTE CA,ST,332535,1173410,33.42641717,-117.5703242,M,S,NAD27,NAD83,6,6,73,US,  SWSWS36 T08S  R07W,SAN CLEMENTE,24000,90,M,10,NGVD29,18070301,,,YYNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,31.6,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10473E7,discharge,ARROYO TRABUCO A SAN JUAN CAPISTRANO CA,ST,332954,1173954,33.49835999,-117.6658843,M,S,NAD27,NAD83,6,6,59,US,  SWSES01 T08S  R08W,DANA POINT,24000,80,M,10,NGVD29,18070301,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,54.1,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10482E7,discharge,AGUA CHINON WASH NR IRVINE CA,ST,334044,1174248,33.67890959,-117.7142187,M,S,NAD27,NAD83,6,6,59,US,,EL TORO,24000,440,M,10,NGVD29,18070204,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,2.85,,PST,Y,,,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10484E7,discharge,MARSHBURN CHANNEL NR IRVINE CA,ST,334102,1174440,33.68390946,-117.7453307,M,S,NAD27,NAD83,6,6,59,US,,EL TORO,24000,275,M,10,NGVD29,18070204,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.1048553E7,discharge,SAND CYN C A IRVINE CA,ST,333926,1174936,33.65724307,-117.8275553,M,S,NAD27,NAD83,6,6,59,US,,TUSTIN,24000,50,M,5,NGVD29,18070204,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,7.06,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10486E7,discharge,BONITA C A IRVINE CA,ST,333842,1175137,33.64502095,-117.8611673,M,S,NAD27,NAD83,6,6,59,US,,TUSTIN,24000,30,M,5,NGVD29,18070204,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,5.39,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.1051499E7,discharge,SANTA ANA R NR MENTONE (RIVER ONLY) CA,ST,340630,1170559,34.10834489,-117.1005911,M,F,NAD27,NAD83,6,6,71,US,,YUCAIPA,24000,1950,M,20,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,210,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.1051502E7,discharge,SAR SUPP GAGE NR MENTONE CA,ST,340630,1170559,34.10834489,-117.1005911,M,F,NAD27,NAD83,6,6,71,US,,,,,,,,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10555E7,discharge,PLUNGE C NR EAST HIGHLANDS CA,ST,340706,1170827,34.11834458,-117.141704,M,F,NAD27,NAD83,6,6,71,US,  NENES01 T01S  R03W,,,1590,M,17,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,16.9,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10558E7,discharge,CITY C NR HIGHLAND CA,ST,340838,1171116,34.1438992,-117.1886507,M,F,NAD27,NAD83,6,6,71,US,  SWNWS27 T01N  R03W,,,1580,M,17,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,19.6,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10575E7,discharge,SAN TIMOTEO C NR LOMA LINDA CA,ST,340341,1171600,34.0614024,-117.2675419,M,F,NAD27,NAD83,6,6,71,US,  NWNES26 T01S  R04W,SAN BERNARDINO SOUTH,24000,1040,M,10,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,125,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.1058E7,discharge,SAND CANYON C NR HIGHLAND CA,ST,340917,1171336,34.1547222,-117.2266667,M,S,NAD83,NAD83,6,6,71,US,  NESES19 T01N  R03W,HARRISON MTN,24000,1520,M,20,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,3.1,,PST,Y,,,,,,,,,967700112
USGS,http://waterservices.usgs.gov/,1.10585E7,discharge,E TWIN C NR ARROWHEAD SPRINGS CA,ST,341045,1171553,34.17917556,-117.2655982,M,S,NAD27,NAD83,6,6,71,US,  NENES14 T01N  R04W,SAN BERNARDINO NORTH,24000,1590,M,20,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,8.8,,PST,Y,,NNNNNNNN,,,,,,,470600113
USGS,http://waterservices.usgs.gov/,1.10586E7,discharge,WATERMAN CANYON CREEK NR ARROWHEAD SPRINGS CA,ST,341109,1171620,34.1858333,-117.2722222,G,F,NAD83,NAD83,6,6,71,US,  NESWS11 T01N  R04W,SAN BERNARDINO NORTH,24000,1840,M,20,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,4.82,,PST,Y,,NNNNNNNN,,,,,,,967700112
USGS,http://waterservices.usgs.gov/,1.10593E7,discharge,SANTA ANA R A E ST NR SAN BERNARDINO CA,ST,340354,1171758,34.0650131,-117.3003208,M,F,NAD27,NAD83,6,6,71,US,,,,,,,,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,541,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.10604E7,discharge,WARM C NR SAN BERNARDINO CA,ST,340442,1171758,34.07834596,-117.3003209,M,F,NAD27,NAD83,6,6,71,US,,SAN BERNARDINO SOUTH,24000,960,M,10,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,11,,PST,Y,,NNNNNNNN,,,,,,,
USGS,http://waterservices.usgs.gov/,1.1062E7,discharge,LYTLE C NR FONTANA CA,ST,341244,1172726,34.2122298,-117.458105,M,F,NAD27,NAD83,6,6,71,US,  NWSES36 T02N  R06W,,,2380,M,17,NGVD29,18070203,,,NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN,,,46.6,,PST,Y,,NNNNNNNN,,,,,,,
