#
#
# US Geological Survey
# retrieved: 2012-12-27 05:40:46 EST	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterservices.usgs.gov/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  lat_va          -- DMS latitude
#  long_va         -- DMS longitude
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_meth_cd   -- Latitude-longitude method
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  district_cd     -- District code
#  state_cd        -- State code
#  county_cd       -- County code
#  country_cd      -- Country code
#  land_net_ds     -- Land net location description
#  map_nm          -- Name of location map
#  map_scale_fc    -- Scale of location map
#  alt_va          -- Altitude of Gage/land surface
#  alt_meth_cd     -- Method altitude determined
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  basin_cd        -- Drainage basin code
#  topo_cd         -- Topographic setting code
#  instruments_cd  -- Flags for instruments at site
#  construction_dt -- Date of first construction
#  inventory_dt    -- Date site established or inventoried
#  drain_area_va   -- Drainage area
#  contrib_drain_area_va -- Contributing drainage area
#  tz_cd           -- Time Zone abbreviation
#  local_time_fg   -- Site honors Daylight Savings Time
#  reliability_cd  -- Data reliability code
#  gw_file_cd      -- Data-other GW files
#  nat_aqfr_cd     -- National aquifer code
#  aqfr_cd         -- Local aquifer code
#  aqfr_type_cd    -- Local aquifer type code
#  well_depth_va   -- Well depth
#  hole_depth_va   -- Hole depth
#  depth_src_cd    -- Source of depth data
#  project_no      -- Project number
#
agency_cd	site_no	station_nm	site_tp_cd	lat_va	long_va	dec_lat_va	dec_long_va	coord_meth_cd	coord_acy_cd	coord_datum_cd	dec_coord_datum_cd	district_cd	state_cd	county_cd	country_cd	land_net_ds	map_nm	map_scale_fc	alt_va	alt_meth_cd	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	topo_cd	instruments_cd	construction_dt	inventory_dt	drain_area_va	contrib_drain_area_va	tz_cd	local_time_fg	reliability_cd	gw_file_cd	nat_aqfr_cd	aqfr_cd	aqfr_type_cd	well_depth_va	hole_depth_va	depth_src_cd	project_no
USGS	11336555	LAGUNA C A HWY 104 NR GALT CA	ST	381727	1212229	38.29074718	-121.3757837	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11336560	DEADMAN GULCH A CHRISTENSON RD NR GALT CA	ST	381644	1212011	38.27880319	-121.3374495	M	F	NAD27	NAD83	06	06	067	US								18040005			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			8.82		PST	Y		NNNNNNNN							
USGS	11336580	MORRISON C NR SACRAMENTO CA	ST	382955	1212706	38.49851847	-121.4527317	M	F	NAD27	NAD83	06	06	067	US	  SWSES32 T08N  R05E			 10.08	L	0.5	NAVD88	18020109			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			53.4		PST	Y		NNNNNNNN							
USGS	11336585	LAGUNA C NR ELK GROVE CA	ST	382524	1212108	38.42324335	-121.353284	M	S	NAD27	NAD83	06	06	067	US	  NENES31 T07N  R06E	ELK GROVE	  24000	 40	M	2.5	NGVD29	18020109			NNNNYNYNNNNNNNNNNNNNNNNNNNNNNN			31.9		PST	Y		NNNNNNNN							470600105
USGS	11336600	DELTA CROSS CHANNEL NR WALNUT GROVE	ST	381441	1213019	38.2447222	-121.5052778	G	5	NAD83	NAD83	06	06	067	US		ISLETON	  24000					18020109			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N		NNNNNNNN							470641900
USGS	11336685	N MOKELUMNE NR WALNUT GROVE CA	ST	381324	1213026	38.2233333	-121.5072222	N	S	NAD83	NAD83	06	06	067	US		ISLETON	  24000	 0	M	2.5	NAVD88	18040003			NNNYNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N									GR11ZG-EEY00
USGS	11336930	MOKELUMNE R A ANDRUS ISLAND NR TERMINOUS CA	ST	380622	1213416	38.1061111	-121.571111	G	5	NAD83	NAD83	06	06	067	US		BOULDIN ISLAND	  24000					18040003			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N									9677AAEDF
USGS	11337080	THREEMILE SLOUGH NR RIO VISTA CA	ST	380612	1214110	38.1033333	-121.686111	M	S	NAD83	NAD83	06	06	067	US		JERSEY ISLAND	  24000					18020109			NNNYNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N		NNNNNNNN							9677aaedf
USGS	11426000	SACRAMENTO WEIR SPILL TO YOLO BYPASS NR SAC CA	ST	383625	1213315	38.60684926	-121.5552347	M	F	NAD27	NAD83	06	06	067	US								18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11446200	FOLSOM LK NR FOLSOM CA	LK	384229	1210922	38.70795824	-121.157169	M	F	NAD27	NAD83	06	06	067	US	  NWNES24 T10N  R07E							18020128			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			1861		PST	Y		NNNNNNNN							
USGS	11446220	AMERICAN R BL FOLSOM DAM NR FOLSOM CA	ST	384118	1211003	38.6883333	-121.1675	M	S	NAD83	NAD83	06	06	067	US	  SWSWS25 T10N  R07E	FOLSOM	  24000	 130	M	  5	NGVD29	18020111			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			1864		PST	Y		NNNNNNNN							9677-00305
USGS	11446400	AMERICAN R A NIMBUS DAM CA	ST	383810	1211315	38.63601566	-121.2218927	M	F	NAD27	NAD83	06	06	067	US								18020111			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			1887		PST	Y		NNNNNNNN							
USGS	11446500	AMERICAN R A FAIR OAKS CA	ST	383808	1211336	38.6354601	-121.2277262	M	F	NAD27	NAD83	06	06	067	US	  SENES17 T09N  R07E			 71.53	M	.01	NGVD29	18020111			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			1888		PST	Y		NNNNNNNN							
USGS	11446700	AMERICAN R A WILLIAM B POND PARK A CARMICHAEL CA	ST	383529	1211954	38.59129436	-121.3327288	M	S	NAD27	NAD83	06	06	067	US		CARMICHAEL	  24000	 45	M	  2	NGVD29	18020111			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			1932		PST	Y		NNNNNNNN							470600305
USGS	11446980	AMERICAN R BL WATT AVE BRDG NR CARMICHAEL CA	ST	383402	1212314	38.5671281	-121.3882857	M	S	NAD27	NAD83	06	06	067	US	  SENWS12 T08N  R05E	SACRAMENTO EAST	  24000	 25	M	2.5	NGVD29	18020111			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			1938		PST	Y		NNNNNNNN							470600305
USGS	11447000	AMERICAN R A SACRAMENTO CA	ST	383405	1212520	38.5679613	-121.4232867	M	F	NAD27	NAD83	06	06	067	US								18020111			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			1936		PST	Y		NNNNNNNN							
USGS	11447030	STRONG RANCH SLOUGH A SACRAMENTO CA	ST	383609	1212340	38.60240499	-121.3955082	M	F	NAD27	NAD83	06	06	067	US								18020111			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			5.02		PST	Y		NNNNNNNN							
USGS	11447230	AMERICAN R A 16TH ST BR AT SACRAMENTO CA	ST	383546	1212830	38.596016	-121.4760659	M	F	NAD27	NAD83	06	06	067	US											NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11447270	MINERS RAVINE NR LOOMIS CA	ST	384803	1210741	38.8007339	-121.1291132	M	F	NAD27	NAD83	06	06	067	US								18020111			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11447330	MAGPIE C NR DEL PASO HEIGHTS CA	ST	383924	1212253	38.6565703	-121.3824525	M	S	NAD27	NAD83	06	06	067	US		RIO LINDA	  24000	 70	M	2.5	NGVD29	18020111			YNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			2.03		PST	Y		NNNNNNNN							470600105
USGS	11447360	ARCADE C NR DEL PASO HEIGHTS CA	ST	383831	1212254	38.64184848	-121.3827302	M	S	NAD27	NAD83	06	06	067	US		RIO LINDA	  24000	 50	M	2.5	NGVD29	18020111			YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN			31.4		PST	Y		NNNNNNNN							470600105
USGS	11447500	SACRAMENTO R A SACRAMENTO CA	ST	383512	1213016	38.5865717	-121.505511	M	F	NAD27	NAD83	06	06	067	US								18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN			23507		PST	Y		NNNNNNNN							
USGS	11447508	RESULT OF 11-4475.05 MINUS 11-4255 CA	ST	383512	1213016	38.5865717	-121.505511	M	F	NAD27	NAD83	06	06	067	US											NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11447650	SACRAMENTO R A FREEPORT CA	ST	382722	1213001	38.45601954	-121.5013437	M	S	NAD27	NAD83	06	06	067	US	  NESES14 T07N  R04E	CLARKSBURG	  24000	 7	M	2.5	NGVD29	18020109			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11447800	SACRAMENTO R A SNODGRASS SLOUGH NR HOOD CA	ST	382100	1213154	38.34991158	-121.5327322	M	F	NAD27	NAD83	06	06	067	US								18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11447810	SACRAMENTO R A GREENS LANDING CA	ST	382045	1213242	38.345745	-121.5460657	M	F	NAD27	NAD83	06	06	067	US								18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							
USGS	11447830	SUTTER SLOUGH A COURTLAND CA	ST	381943	1213438	38.3286111	-121.5772222	G	5	NAD83	NAD83	06	06	067	US		COURTLAND	  24000					18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N									967741900
USGS	11447850	STEAMBOAT SLOUGH BTW SACRAMENTO R + SUTTER SLOUGH	ST	381705	1213512	38.2847222	-121.5866667	G	5	NAD83	NAD83	06	06	067	US		COURTLAND	  24000					18020109			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N									470641900
USGS	11447890	SACRAMENTO R AB DELTA CROSS CHANNEL CA	ST	381528	1213102	38.25769218	-121.5182865	M	S	NAD27	NAD83	06	06	067	US		COURTLAND	  24000					18020108			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N		NNNNNNNN							470641900
USGS	11447903	GEORGIANA SLOUGH NR SACRAMENTO R	ST	381414	1213103	38.2372222	-121.5175	G	5	NAD83	NAD83	06	06	067	US		ISLETON	  24000					18020109			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N									470641900
USGS	11447905	SACRAMENTO R BL GEORGIANA SLOUGH CA	ST	381420	1213118	38.23880385	-121.5227309	M	S	NAD27	NAD83	06	06	067	US		ISLETON	  24000					18020108			NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN					PST	N		NNNNNNNN							470641900
USGS	365340121383401	PAJARO R A ROGGE LANE A AROMAS CA	ST	365340	1213834	36.89439775	-121.6438345	M	S	NAD27	NAD83	06	06	067	US		WATSONVILLE EAST	  24000	 76	M	 10	NGVD29	18060002			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y		NNNNNNNN							470600104
USGS	380118121482301	SAN JOAQUIN R A KIMBALL ISLAND NR ANTIOCH CA	ST	380117.8	1214822.7	38.0216111	-121.8063056	G	1	NAD83	NAD83	06	06	067	US		ANTIOCH NORTH	  24000	 0	M	5.0	NGVD29	18040003			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN		20120327			PST	Y									GR12ZG-AZE88
USGS	380253121423401	002N002E01M001M	AT	380253	1214234	38.0479758	-121.7105097	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -12	M	2.5	NGVD29	18020109		V	YNNNNNNNNNNNNYNNNNNNNNNNNNNNNN	198911	19910204			PST	N	C	YYNNNYNN				18		O	470647900
USGS	380256121423501	SHERMAN ISLAND - S DITCH CA	ST-DCH	380256	1214235	38.0488091	-121.7107875	M	U	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000					18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN		19900503			PST	Y		NNNNNNNN							470647900
USGS	380309121423501	SHERMAN ISLAND - N DITCH CA	ST-DCH	380309	1214235	38.0524201	-121.7107875	M	U	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000					18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN		19900515			PST	Y		NNNNNNNN							470647900
USGS	380345121491401	SACRAMENTO R A POINT SACRAMENTO NR ANTIOCH CA	ST	380344.7	1214913.8	38.06241667	-121.8205	G	1	NAD83	NAD83	06	06	067	US		ANTIOCH NORTH	  24000	 0	M	5.0	NGVD29	18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN		20120327			PST	Y									GR12ZG-AZE88
USGS	380429121451001	003N002E28H001M	GW	380429	1214510	38.07464147	-121.7538439	M	S	NAD27	NAD83	06	06	067	US		ANTIOCH NORTH	24000	 2.00	M	2.5	NGVD29	18020109		G	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19780724				PST	Y	C	YYNYNNNN	S100CNRLVL				405		0479423712
USGS	380544121403301	003N003E19A001M	GW	380544	1214033	38.0954744	-121.6768987	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -7.25	L	.01	NGVD29	18020109		V	YNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19921104	19921104			PST	Y	C	YYNNNYNN	S100CNRLVL		U	8	8	S	470649600
USGS	380544121403302	003N003E19A002M	GW	380544	1214033	38.0954744	-121.6768987	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -7.78	L	.01	NGVD29	18020109		V	YNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19921104	19921104			PST	Y	C	YYNNNYNN	S100CNRLVL		U	7.88	7.88	D	470649600
USGS	380544121403303	003N003E19A003M	GW	380544	1214033	38.0954744	-121.6768987	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -7.72	L	.01	NGVD29	18020109		V	YNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19921104	19921104			PST	Y	C	YYNNNYNN	S100CNRLVL		U	7.94	7.94	D	470649600
USGS	380544121403304	003N003E19A004M	GW	380544	1214033	38.0954744	-121.6768987	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -8.00	L	.01	NGVD29	18020109		V	YNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19921104	19921104			PST	Y	C	YYNNNYNN	S100CNRLVL		U	7.84	7.84	D	470649600
USGS	380548121390501	TWITCHELL ISLAND DR A PUMP STATION NR RIO VISTA CA	ST	380548	1213905	38.09666667	-121.6513889	G	F	NAD83	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -15	M	  5	NGVD29	18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y									9677-0AZ34
USGS	380601121390801	TWITCHELL ISLAND DR 2-2E NR RIO VISTA CA	ST	380601	1213908	38.10027778	-121.6522222	G	F	NAD83	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -15	M	  5	NGVD29	18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y									9677-0AZ34
USGS	380617121390601	TWITCHELL ISLAND DR 2-1E NR RIO VISTA CA	ST	380617	1213906	38.1047222	-121.6516667	G	F	NAD83	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -15	M	  5	NGVD29	18020109			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					PST	Y									9677-0AZ34
USGS	380621121395501	TWITCHELL ISLAND DR J-N E NR RIO VISTA CA	ST	380621	1213955	38.1058333	-121.6652778	G	U	NAD83	NAD83	06	06	067	US		JERSEY ISLAND, CA	  24000	 -15	M	  5	NGVD29	18040003			NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN		20110426			PST	Y									9677-DZGJF
USGS	380624121383301	003N003E16G015M	GW	380624	1213833	38.10658529	-121.643565	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.12	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970626	19970626			PST	Y	C	YYNNNYNN	S100CNRLVL			27	30	O	470652523
USGS	380624121383302	003N003E16G016M	GW	380624	1213833	38.10658529	-121.643565	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.19	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970626	19970626			PST	Y	C	YYNNNYNN	S100CNRLVL		U	10	10	O	470652523
USGS	380624121383303	003N003E16G017M	GW	380624	1213833	38.10658529	-121.643565	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.28	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970626	19970626			PST	Y	C	YYNNNYNN	S100CNRLVL		U	2.0	2.0	O	470652523
USGS	380624121384001	003N003E16G018M	GW	380624	1213840	38.10658529	-121.6455095	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.60	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970627	19970627			PST	Y	C	YYNNNYNN	S100CNRLVL			27	30	O	470652523
USGS	380624121384002	003N003E16G019M	GW	380624	1213840	38.10658529	-121.6455095	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.35	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970627	19970627			PST	Y	C	YYNNNYNN	S100CNRLVL		U	10	10	O	470652523
USGS	380624121384003	003N003E16G020M	GW	380624	1213840	38.10658529	-121.6455095	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.55	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970627	19970627			PST	Y	C	YYNNNYNN	S100CNRLVL		U	2.0	2.0	O	470652523
USGS	380626121383201	003N003E16G010M	GW	380626	1213832	38.1071408	-121.6432872	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.14	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970625	19970625			PST	Y	C	YYNNNYNN	S100CNRLVL			25	25	O	470652523
USGS	380626121383202	003N003E16G011M	GW	380626	1213832	38.1071408	-121.6432872	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.35	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970625	19970625			PST	Y	C	YYNNNYNN	S100CNRLVL		U	10	10	O	470652523
USGS	380626121383203	003N003E16G012M	GW	380626	1213832	38.1071408	-121.6432872	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.15	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970625	19970625			PST	Y	C	YYNNNYNN	S100CNRLVL		U	2	2	O	470652523
USGS	380626121383501	003N003E16G001M	GW	380626	1213835	38.1071408	-121.6441206	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.16	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970619	19970619			PST	Y	C	YYNNNYNN	S100CNRLVL			88	95	O	470652523
USGS	380626121383502	003N003E16G002M	GW	380626	1213835	38.1071408	-121.6441206	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.23	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970623	19970623			PST	Y	C	YYNNNYNN	S100CNRLVL			60	60	O	470652523
USGS	380626121383503	003N003E16G003M	GW	380626	1213835	38.1071408	-121.6441206	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.36	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970624	19970624			PST	Y	C	YYNNNYNN	S100CNRLVL			27	30	O	470652523
USGS	380626121383504	003N003E16G004M	GW	380626	1213835	38.1071408	-121.6441206	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.43	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970624	19970624			PST	Y	C	YYNNNYNN	S100CNRLVL		U	10	10	O	470652523
USGS	380626121383505	003N003E16G005M	GW	380626	1213835	38.1071408	-121.6441206	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.44	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970625	19970625			PST	Y	C	YYNNNYNN	S100CNRLVL		U	2	2	O	470652523
USGS	380626121383506	003N003E16G008M	GW	380626	1213835	38.1071408	-121.6441206	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -20.09	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970625	19970625			PST	Y	C	YYNNNYNN	S100CNRLVL		U	11	11	O	470652523
USGS	380626121383507	003N003E16G009M	GW	380626	1213835	38.1071408	-121.6441206	M	S	NAD27	NAD83	06	06	067	US		JERSEY ISLAND	  24000	 -19.97	L	.01	NGVD29	18020109		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19970625	19970625			PST	Y	C	YYNNNYNN	S100CNRLVL		U	2.5	2.5	O	470652523
